# Node, all count, hit count, without preloading, with preloading
253, 544, 42, 478487, 443916
253, 545, 42, 479926, 445355
254, 546, 42, 481607, 447036
254, 547, 42, 482774, 448203
254, 548, 42, 485818, 451247
254, 549, 43, 487250, 451307
255, 550, 43, 490352, 454409
255, 551, 43, 492088, 456145
256, 552, 43, 494027, 458084
256, 553, 43, 495217, 459274
257, 554, 43, 498575, 462632
257, 555, 43, 499828, 463885
258, 556, 43, 501613, 465670
258, 557, 43, 503512, 467569
259, 558, 43, 505636, 469693
259, 559, 43, 506962, 471019
259, 560, 43, 507374, 471431
259, 561, 44, 507767, 471491
260, 562, 44, 509225, 472949
260, 563, 44, 511264, 474988
260, 564, 45, 512892, 475048
260, 565, 46, 512911, 475108
260, 566, 46, 512949, 475146
260, 567, 46, 514577, 476774
260, 568, 46, 516389, 478586
260, 569, 46, 516423, 478620
260, 570, 46, 518302, 480499
260, 571, 46, 519991, 482188
260, 572, 46, 521768, 483965
260, 573, 46, 523422, 485619
260, 574, 46, 525105, 487302
261, 575, 46, 525794, 487991
261, 576, 46, 526476, 488673
262, 577, 46, 529072, 491269
263, 578, 46, 530078, 492275
263, 579, 46, 531116, 493313
264, 580, 46, 531226, 493423
265, 581, 46, 531334, 493531
266, 582, 46, 531889, 494086
266, 583, 46, 533627, 495824
267, 584, 46, 535999, 498196
267, 585, 46, 536025, 498222
267, 586, 47, 537400, 498282
267, 587, 47, 537433, 498315
267, 588, 47, 538012, 498894
267, 589, 48, 538784, 498954
267, 590, 49, 539295, 499014
267, 591, 49, 539758, 499477
267, 592, 49, 540370, 500089
267, 593, 49, 540934, 500653
267, 594, 49, 541347, 501066
267, 595, 50, 541740, 501126
267, 596, 51, 542060, 501186
267, 597, 52, 542323, 501246
268, 598, 52, 544310, 503233
268, 599, 52, 544381, 503304
268, 600, 53, 545796, 503364
269, 601, 53, 547115, 504683
269, 602, 53, 548441, 506009
270, 603, 53, 550446, 508014
270, 604, 53, 551501, 509069
270, 605, 54, 551813, 509129
270, 606, 54, 551988, 509304
271, 607, 54, 552155, 509471
272, 608, 54, 552340, 509656
272, 609, 54, 552506, 509822
272, 610, 54, 552781, 510097
272, 611, 55, 554772, 510157
272, 612, 56, 555836, 510217
272, 613, 57, 556035, 510277
272, 614, 57, 556059, 510301
272, 615, 57, 556078, 510320
272, 616, 57, 556113, 510355
272, 617, 57, 557780, 512022
272, 618, 57, 558203, 512445
272, 619, 58, 558607, 512505
273, 620, 58, 560358, 514256
273, 621, 58, 560403, 514301
273, 622, 58, 560420, 514318
273, 623, 58, 560439, 514337
273, 624, 58, 560462, 514360
273, 625, 58, 562344, 516242
274, 626, 58, 564226, 518124
275, 627, 58, 564867, 518765
276, 628, 58, 566104, 520002
277, 629, 58, 567018, 520916
278, 630, 58, 567622, 521520
279, 631, 58, 568790, 522688
279, 632, 58, 569220, 523118
280, 633, 58, 570173, 524071
280, 634, 58, 570207, 524105
280, 635, 58, 572790, 526688
280, 636, 59, 574276, 526748
280, 637, 60, 575703, 526808
281, 638, 60, 578654, 529759
281, 639, 60, 581958, 533063
282, 640, 60, 583460, 534565
282, 641, 60, 584818, 535923
283, 642, 60, 586738, 537843
283, 643, 60, 588732, 539837
284, 644, 60, 590475, 541580
284, 645, 60, 590517, 541622
285, 646, 60, 591443, 542548
285, 647, 60, 592412, 543517
285, 648, 61, 592971, 543577
285, 649, 62, 593470, 543637
285, 650, 63, 593927, 543697
286, 651, 63, 594877, 544647
286, 652, 63, 595324, 545094
287, 653, 63, 595755, 545525
288, 654, 63, 596186, 545956
288, 655, 63, 596630, 546400
288, 656, 63, 597263, 547033
288, 657, 64, 597777, 547093
288, 658, 65, 598253, 547153
289, 659, 65, 599563, 548463
289, 660, 65, 599618, 548518
289, 661, 66, 600978, 548578
289, 662, 66, 601161, 548761
289, 663, 67, 601343, 548821
290, 664, 67, 601497, 548975
291, 665, 67, 601666, 549144
292, 666, 67, 601854, 549332
293, 667, 67, 602020, 549498
294, 668, 67, 602184, 549662
295, 669, 67, 602385, 549863
296, 670, 67, 602545, 550023
297, 671, 67, 602730, 550208
298, 672, 67, 602896, 550374
299, 673, 67, 603063, 550541
300, 674, 67, 603253, 550731
301, 675, 67, 603437, 550915
301, 676, 67, 603459, 550937
301, 677, 67, 604360, 551838
301, 678, 67, 604386, 551864
302, 679, 67, 604622, 552100
303, 680, 67, 604792, 552270
303, 681, 67, 604812, 552290
303, 682, 68, 606012, 552350
303, 683, 68, 606369, 552707
303, 684, 68, 609282, 555620
304, 685, 68, 611104, 557442
304, 686, 68, 612713, 559051
304, 687, 68, 613128, 559466
304, 688, 68, 613556, 559894
304, 689, 69, 613974, 559954
305, 690, 69, 615587, 561567
305, 691, 69, 616024, 562004
305, 692, 70, 616431, 562064
305, 693, 71, 616856, 562124
305, 694, 72, 617288, 562184
306, 695, 72, 618642, 563538
306, 696, 72, 619087, 563983
306, 697, 72, 620616, 565512
306, 698, 73, 621111, 565572
306, 699, 74, 621530, 565632
307, 700, 74, 622998, 567100
307, 701, 74, 623444, 567546
307, 702, 75, 623856, 567606
307, 703, 76, 624306, 567666
307, 704, 77, 624719, 567726
307, 705, 78, 625133, 567786
307, 706, 79, 625539, 567846
307, 707, 80, 625956, 567906
307, 708, 81, 626335, 567966
307, 709, 82, 626743, 568026
308, 710, 82, 627756, 569039
308, 711, 82, 628172, 569455
308, 712, 83, 628578, 569515
309, 713, 83, 630182, 571119
309, 714, 83, 630601, 571538
309, 715, 84, 631015, 571598
310, 716, 84, 632707, 573290
310, 717, 84, 633127, 573710
310, 718, 85, 633518, 573770
311, 719, 85, 635039, 575291
311, 720, 85, 636275, 576527
312, 721, 85, 637873, 578125
312, 722, 85, 637929, 578181
312, 723, 85, 638122, 578374
312, 724, 86, 638457, 578434
312, 725, 86, 640579, 580556
312, 726, 86, 641559, 581536
312, 727, 86, 641622, 581599
313, 728, 86, 642683, 582660
314, 729, 86, 643604, 583581
314, 730, 86, 643618, 583595
314, 731, 86, 644913, 584890
314, 732, 87, 645853, 584950
315, 733, 87, 647572, 586669
315, 734, 87, 649084, 588181
316, 735, 87, 651801, 590898
316, 736, 87, 653177, 592274
317, 737, 87, 654553, 593650
317, 738, 87, 655776, 594873
317, 739, 87, 657142, 596239
317, 740, 88, 658401, 596299
317, 741, 88, 659773, 597671
